Name	Instructions	Difficulty	Impact	Muscle Group(s)	Easier Modification	Harder Modification	Equipment Required	Is Stretch	Link
four-limbs-pose	Starting on your hands and knees. Pull your belly button to your spine to activate the core and make sure your hands are firmly pressing into the floor. Keeping the elbows above the wrists, come forward and down until the shoulders are in-line with the elbows and the upper arms are parallel to the floor. Have your hips in-line with the shoulders so the spine also makes a straight line parallel to the floor. Press into your hands and rise back up to the starting position.	Easy	Normal	abs, triceps, upper back, chest, shoulders	To make this easier lower yourself only an inch or two and then push back up.	Lift your knees into plank pose. Then bend the elbows and lower half way down in the same way.	N/A	False	https://sworkit.com/exercise/four-limbs-pose
knee-in-push-ups	Start at the top of the push-up position with your hands on the floor, arms straight and underneath your shoulders. Step your feet back behind you and lift your knees. Engage your glutes, tense your legs and brace your core to keep your body rigid. Feet should be between hip and shoulder width. This is your start position.	Hard	Normal	abs, lower back, chest, shoulders	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	N/A	False	https://sworkit.com/exercise/knee-in-push-ups
reverse-v-lunges	Set yourself up as you would for a Rear Lunge, making sure you have space to step backwards and out to the sides. Pick up your left foot and pivot on the heal of your right foot to turn the foot out about 45 degrees. As you pivot, take a long step backwards with your left foot. Plant your back toes on the floor behind and to the side of where you started standing. As your toes makes contact with the floor, bend at both knees to lower yourself down into the lunge position. At the bottom of your lunge, your knees should both be bent to approximately 90 degrees.	Medium	Normal	calves, glutes, hamstrings, quadriceps	The simpler version of the lunge exercise is the Rear Lunge, so give that a go first.	To progress from this exercise, check out our Forward Lunges and then our Lunge Jumps.	N/A	False	https://sworkit.com/exercise/reverse-v-lunges
elbow-to-knee	In a chair bring your elbow and the opposite knee together slowly to rotate your torso. Keep your back straight and breathing normal. Do this for a series of repetitions. This is a great exercise for building your obliques and core.	Easy	Low	abs	N/A	This exercise can be done standing. Also try out Supine Bicycle movement.	chair	False	https://sworkit.com/exercise/elbow-to-knee
bending-windmill-stretch	Stand tall with your feet at shoulder width and your arms held out to the sides at shoulder height. From this starting position, keep your legs as straight as possible, and bend forwards from the hips with a flat back. 	Easy	Normal	lower back, hamstrings	N/A	N/A	N/A	True	https://sworkit.com/exercise/bending-windmill-stretch
chest-expander	Stand up tall with your feet set at hip width. Raise your straight arms out wide to shoulder height, palms face down. Then, keeping your arms at shoulder height, bring them in, across your body until they cross over each other. From here expand your chest and open your arms back out as wide as you can. Each time you repeat the movement change which arm is on top of the other when they cross over in the middle. 	Easy	Low	upper back, chest, shoulders	For an easier option, try out Chest Expansion stretch.	Add some light dumbbells in your hands to amp this one up. Or if you have some resistance band material that is long enough, hold one end in each hand so that your muscles have to work harder to open your arms out wide against the elastic resistance of the band.	N/A	False	https://sworkit.com/exercise/chest-expander
foam-roller-thoracic-spine-extension	Lay on your back with the roller at your shoulder blades and your feet flat on the floor. Hold your head with your hands, and keep your elbows out. Move your head to the ground. Hold.	Easy	Low	upper back, lower back	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-thoracic-spine-extension
resistance-loop-clams-right	Lay on your left side, knees slightly bent. Draw your belly button in and activate your right knee up against the resistance of the band and down slowly.	Medium	Low	glutes	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	Resistance Loop	False	https://sworkit.com/exercise/resistance-loop-clams-right
sit-up	Lay down on a mat or a towel on a flat surface. Draw your legs in by bending your knees to 90 degrees. Place your hands by your ears and take your elbows out wide. From this start position, draw your belly button down towards the floor to engage your core, then contract your stomach muscles (abs) to raise up to a sitting position. 	Medium	Normal	abs	Try our Abdominal Crunch, Twisting Crunches and Elevated Crunches first as a way to build up to this Sit-up exercise.	Once you have mastered the Sit-up have a go at our V Balance and V Sit-up exercises.	N/A	False	https://sworkit.com/exercise/sit-up
foam-roller-quadruped-thoracic-rotation-right	Kneeling with the roller in front of you. Place your left arm on the roller and the right hand on the back of your head. Rotate your eyes to the right as you roll your left arm across.	Easy	Low	upper back, shoulders	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-quadruped-thoracic-rotation-right
